frame,time,u,v,X_world,Y_world,yaw_deg,area
120,4.0040000000000004,2444.0032436132065,1699.878394262673,1479.862433535304,277.6444800454042,-148.2548759131505,11201.5
121,4.037366666666666,2437.0347696658478,1706.9834486864625,1472.3175288716413,269.83844354376765,-148.32550731437138,11197.5
122,4.070733333333333,2427.8560379129967,1713.881879554701,1462.3795343362897,262.2594160023059,-149.69396916475407,11183.5
123,4.1041,2420.458104992064,1721.1403138382295,1454.369645942036,254.28486723991455,-150.6245059397332,11131.0
124,4.137466666666667,2413.2732638264724,1727.474414284858,1446.5904762088273,247.3258467536166,-152.26284041573476,11126.0
125,4.170833333333333,2404.838168691987,1733.8667174865102,1437.457631758323,240.3028812497139,-153.2707811625877,11150.5
126,4.2042,2397.037490252534,1739.8979215403995,1429.011682819981,233.67664080377972,-154.85296886817463,11114.0
127,4.237566666666667,2389.4506596148385,1745.7758056564028,1420.797271129102,227.21884678487913,-155.5055996018362,11155.5
128,4.270933333333334,2380.753134185112,1751.8710185351808,1411.3802882038892,220.52228242674028,-155.64699310100173,11114.0
129,4.3043000000000005,2372.064436183395,1757.5672952031173,1401.9728629096965,214.26401318049056,-158.14780636240985,11163.5
130,4.337666666666666,2365.5851721492713,1762.827429568461,1394.9576355015931,208.48491587732246,-159.43020583337236,11080.5
131,4.371033333333333,2356.9350061144073,1768.0190829898695,1385.591929530541,202.7810558230392,-159.39948613106836,11039.5
132,4.4044,2346.789718707961,1773.0813192460585,1374.6074260588582,197.2193811842908,-160.6762862848494,11026.5
133,4.437766666666667,2338.764219920703,1778.0534424796103,1365.9180596802764,191.75671008612335,-161.50923878607605,11055.5
134,4.471133333333333,2330.870293076853,1782.5773220820854,1357.37114884891,186.7865061721759,-163.15887725212738,11021.0
135,4.5045,2320.9634092734905,1787.5460264047413,1346.644769676798,181.32759129340639,-163.15659115141702,10995.5
136,4.537866666666667,2311.3745831059364,1792.0416439269904,1336.2627578020104,176.38843778621117,-164.8641785468813,10994.0
137,4.571233333333334,2303.0671576924838,1796.400506275066,1327.2681438853226,171.59953166879131,-165.87552118666378,10929.5
138,4.6046000000000005,2293.907568674183,1800.7024933541113,1317.3508755675437,166.87311211369865,-166.04871103041708,10909.0
139,4.637966666666666,2283.3273850482437,1804.4611220698198,1305.8955013514985,162.743658459877,-166.61617231263162,10899.5
140,4.671333333333333,2273.9867444245456,1808.7071221931396,1295.7822048771611,158.0787495131401,-168.86374410352371,10888.5
141,4.7047,2264.3703345759122,1812.4029331001577,1285.370327604929,154.0183112501013,-168.7113936895135,10864.5
142,4.738066666666667,2253.5507554078586,1815.7462383457953,1273.6557550972918,150.34515672841644,-170.2927044304132,10833.0
143,4.771433333333333,2244.735007617377,1819.358170598464,1264.1107704822186,146.3768725571697,-172.06333905487912,10830.5
144,4.8048,2235.859813800825,1822.6642739919323,1254.5014224781564,142.74459020881955,-173.5549434829011,10866.5
145,4.838166666666667,2224.696779358335,1825.5872744627131,1242.4149841471797,139.53320757777055,-173.64036867096212,10826.0
146,4.871533333333334,2214.116437621608,1828.0076297283633,1230.9594387414552,136.87406094444805,-174.55719514633182,10878.5
147,4.9049000000000005,2205.304176444424,1831.18348440927,1221.418229151607,133.38487759913187,-176.7208757777318,10866.5
148,4.938266666666666,2195.821767579025,1834.0469081190674,1211.1514373960865,130.23894955057403,-177.97670694885832,10851.0
149,4.971633333333333,2184.7700155655216,1835.8476890594418,1199.1854867534882,128.26050421946616,-177.8390211624974,10814.5
150,5.005,2175.221077434855,1838.5169407996057,1188.8466624457071,125.32790507624054,-178.98833655778816,10822.0
151,5.038366666666667,2165.974381489355,1840.4710077949285,1178.835081733819,123.18105054391481,-179.64227911632946,10819.0
152,5.071733333333333,2154.676684081557,1842.4627583337185,1166.6028411450382,120.99279462346885,178.99576815599667,10814.5
153,5.1051,2143.821043193272,1843.8706366137958,1154.8492238991687,119.44601558580985,177.3488249167107,10781.0
154,5.138466666666667,2134.8817179356315,1845.8905643452572,1145.1704395145427,117.22680252114105,176.6540422415465,10776.5
155,5.171833333333334,2125.5212407699196,1847.3173448265206,1135.0356656235597,115.65925639802163,176.34733556657116,10789.0
156,5.2052000000000005,2114.216506789008,1847.8821848401994,1122.7958063978,115.03868947462138,174.6380571295115,10789.5
157,5.238566666666666,2103.9102748519012,1849.20347083662,1111.637045097338,113.58704588373962,173.04785691546445,10775.5
158,5.271933333333333,2094.1312328639806,1849.9538237526524,1101.0490827890656,112.76266342270651,173.23379294104262,10759.5
159,5.3053,2082.8470719880643,1850.5748787765758,1088.8314984712695,112.08033533665571,171.3470110083695,10724.0
160,5.338666666666667,2072.0324729780095,1851.1315380792644,1077.1223180792656,111.4687562302081,170.20175240275168,10732.0
161,5.372033333333333,2062.215225053177,1851.430061949788,1066.4929894469221,111.14078010350659,169.34418578754367,10734.5
162,5.4054,2052.003159264077,1851.9802236263395,1055.4361836986548,110.53633967662086,168.27281243259927,10762.0
163,5.438766666666667,2040.5956192603624,1851.2301129312484,1043.0850143572573,111.36045601928299,166.70759334660337,10744.0
164,5.472133333333334,2029.353184411385,1850.6074554244585,1030.9126076346745,112.04454468857534,166.41788876047343,10721.5
165,5.5055000000000005,2018.5704558497355,1850.1214616971442,1019.2379340079426,112.5784863797578,165.27844392867598,10745.5
166,5.538866666666666,2007.733544756397,1849.1899542953083,1007.5045958817639,113.60189596208693,164.59774127095653,10721.0
167,5.572233333333333,1997.5842712370988,1849.0773206307695,996.515776566803,113.7256420228855,162.47517816217032,10706.5
168,5.6056,1987.6147772400097,1848.590096798213,985.7216080987548,114.26093518104472,161.4947396734656,10744.0
169,5.638966666666667,1977.048951591625,1847.8001117474507,974.2817795491826,115.12885986876404,161.23606981403697,10738.5
170,5.6723333333333334,1966.4571237124644,1846.3924859364529,962.8137978697107,116.67536152883645,160.06978354320947,10695.5
171,5.7057,1956.664783339559,1845.684067986552,952.2114371368118,117.45367173527552,159.0479457611118,10708.0
172,5.739066666666667,1947.0182733835381,1844.3666214509565,941.7669698825664,118.90109706552767,157.80646291391687,10689.5
173,5.772433333333334,1936.1909816390782,1841.9963839271797,930.044046815806,121.50518135884431,156.55085526387373,10693.0
174,5.8058000000000005,1925.9187570198428,1839.7973449394733,918.92210591148,123.92117673096732,155.96987304511836,10684.0
175,5.839166666666666,1915.898281561876,1837.5939995009978,908.0727388067087,126.34190342672173,155.46377817231405,10688.0
176,5.872533333333333,1905.2727045323074,1834.9935275080907,896.5682162541227,129.19893703791377,154.11665500229554,10660.5
177,5.9059,1895.3561000798009,1832.93805254346,885.8313123427904,131.45720441281037,153.24797467622264,10651.5
178,5.939266666666667,1885.8849390348614,1830.7013254648493,875.5766988250994,133.91460616913923,152.00860415449947,10675.5
179,5.9726333333333335,1875.6401789751023,1827.8011006656998,864.4844943429002,137.10096608910135,150.92647414001271,10690.5
180,6.006,1865.653885912978,1824.520925351627,853.6721371946494,140.70476230320014,149.54464228363776,10641.0
181,6.039366666666667,1856.8026031388029,1821.6890486483098,844.0886781494187,143.81603092912542,-151.28097371951242,10641.0
182,6.072733333333334,1848.0554279374305,1818.8442798431076,834.6179384337709,146.94146358700527,-153.01867375008516,10665.5
183,6.1061000000000005,1838.6232334164665,1814.973758097658,824.405514742818,151.19384959606873,-153.59392442627473,10625.5
184,6.139466666666666,1829.4378956252638,1811.4780012816302,814.4603677189953,155.03449650447124,-155.09179746687443,10663.5
185,6.172833333333333,1819.7803967510151,1807.3473758200562,804.004002545491,159.57264796741788,-156.38368774253368,10670.0
186,6.2062,1810.3478879404684,1802.8640058781225,793.7912385669863,164.49834555249095,-156.2311730356464,10661.0
187,6.239566666666667,1800.7237752430815,1798.0149432809771,783.3710212679534,169.8258148967509,-156.43081549002218,10696.0
188,6.2729333333333335,1792.1663069656875,1793.2931093803757,774.1056809935985,175.01350320767324,-158.66240119149282,10657.0
189,6.3063,1783.1946330726362,1788.305484006931,764.3918721011655,180.49320588120054,-160.23215678229536,10676.5
190,6.339666666666667,1774.274112943528,1782.4313780609693,754.7334484013948,186.9468489771814,-160.56292832298573,10672.0
191,6.373033333333334,1765.7911969689883,1777.56968676427,745.5488273808885,192.2881929638868,-162.07864561871946,10689.5
192,6.4064000000000005,1757.4758193725013,1772.2935896837616,736.545603478239,198.08482785787533,-162.69694159550414,10714.5
193,6.439766666666666,1748.6539460384104,1766.087131638286,726.9939866158625,204.90361279028093,-163.9192633549711,10717.5
194,6.473133333333333,1740.4459658007438,1760.407452561818,718.1070439592293,211.14364693274206,-165.61059837940812,10663.0
195,6.5065,1733.0307560538813,1754.8875029198784,710.0784496035963,217.20819279292618,-165.86337430500734,10702.5
196,6.539866666666667,1724.970895522388,1748.6789645522388,701.3518790844394,224.02926329132174,-166.3889309058367,10720.0
197,6.5732333333333335,1717.10840856292,1741.9353103512792,692.8390088381552,231.4382439559663,-167.41513056314665,10689.5
198,6.6066,1709.32443965113,1736.6879083434928,684.4111516361306,237.2033527318249,-168.63162358134466,10663.0
199,6.639966666666667,1701.5748537736588,1730.3439651252136,676.020521625876,244.17318707403456,-169.1099604331438,10628.5
200,6.673333333333334,1693.412934157921,1722.5732602448775,667.1834497162422,252.7105468634611,-170.61283310649043,10672.0
201,6.7067000000000005,1685.565460179636,1716.5392383559058,658.6868343218234,259.3398831510592,-171.98253310913785,10595.5
202,6.740066666666666,1678.6903533273364,1710.8403951458913,651.243020059914,265.6009721534922,-172.20222569495579,10561.5
203,6.773433333333333,1671.0101488391178,1703.6551288728947,642.9275106530079,273.4951341761207,-173.48321482080283,10559.5
204,6.8068,1663.2832699917105,1695.829055818827,634.5614659936236,282.0933247431035,-174.9463374673153,10656.5
205,6.840166666666667,1655.9023364559303,1689.1204632114109,626.5699831701284,289.4637846501746,-176.54041674513812,10621.5
206,6.8735333333333335,1648.509828048588,1682.3847925540306,618.5659680041015,296.86399411774255,-176.7514500247806,10565.0
207,6.9069,1640.9660117754477,1674.2450489594155,610.3981288170721,305.8068018463903,-178.07016969485505,10587.0
208,6.940266666666667,1633.6669680100235,1667.5877781478484,602.4953096687134,313.1208765679537,-178.30399123440387,10508.5
209,6.973633333333334,1627.042647105522,1660.9052427677748,595.3230263160701,320.46270845113713,-179.93365919855793,10497.0
210,7.007000000000001,1619.9675051912436,1652.6713110466499,587.6626301334386,329.5089968725006,179.52959088358907,10514.5
211,7.040366666666666,1613.1977747178828,1644.173749267999,580.3329089626277,338.844924996705,177.7563236668063,10530.5
212,7.073733333333333,1606.9380024956956,1636.1046770601336,573.5553296835164,347.71008892536406,177.0900220197784,10551.5
213,7.1071,1600.6123526055535,1628.4051286927854,566.7064233494518,356.16927192618596,176.24695678879584,10516.0
214,7.140466666666667,1594.6348677424985,1619.7016708716142,560.2344821811375,365.7314097213641,175.29551634125625,10503.5
215,7.1738333333333335,1588.312091191973,1612.1879723121863,553.3886868687453,373.98640704000604,174.23613289447266,10498.0
216,7.2072,1582.5483136473601,1603.9018705627498,547.148130843829,383.0900125656451,173.06018861640015,10540.5
217,7.240566666666667,1576.22675650881,1594.652652557654,540.3036558129172,393.25175504542517,171.71761240904777,10537.0
218,7.273933333333334,1570.1453865297128,1585.9966871146194,533.7192361733576,402.7617148817628,170.768807025113,10514.5
219,7.307300000000001,1564.7242536486528,1577.939136353563,527.8496683073333,411.6142206618729,170.06163107961018,10529.0
220,7.3406666666666665,1559.178707043858,1569.508686159104,521.8453952402101,420.8764159974685,169.02893198790466,10534.0
221,7.374033333333333,1554.1614531415642,1560.1575133304852,516.4131151381164,431.1501721264717,167.74634873089303,10533.5
222,7.4074,1549.0765656852984,1551.6484457718989,510.90760684852603,440.49874118666344,166.86254391597953,10546.5
223,7.440766666666667,1544.049661900011,1543.279554056408,505.4648786271234,449.6933047062096,165.58331441407506,10524.5
224,7.4741333333333335,1539.755235727264,1533.87231838322,500.81521841410176,460.0286548195779,165.81100421785928,10457.0
225,7.5075,1534.976972010178,1525.4358142493638,495.64169771565435,469.29750137402334,164.78523636420826,10480.0
226,7.540866666666667,1531.0341386554621,1517.0939648586707,491.37271400548116,478.46235458287106,162.8109001887755,10472.0
227,7.574233333333334,1527.1004162907386,1507.5678807160834,487.1135949444986,488.92827871227905,163.1780799832381,10529.5
228,7.6076,1522.7844369337204,1498.9804985639707,482.44059867228293,498.3628888552287,162.1648359788303,10503.5
229,7.6409666666666665,1519.431720020325,1490.3218210111788,478.81054571278173,507.87582837708305,161.19411067546977,10496.0
230,7.674333333333333,1515.7205731021925,1480.2997704424918,474.79241349306267,518.8866507992839,159.72160495473375,10527.5
231,7.7077,1512.5796956728484,1470.6071326676176,471.3917233356958,529.5355606815888,158.83093020688978,10515.0
232,7.741066666666667,1508.7763437787726,1462.386163761628,467.27375896359126,538.567607381204,158.11952168757065,10499.0
233,7.7744333333333335,1505.8651637399146,1453.377677582661,464.1217667171013,548.4648675206977,157.49934614509277,10535.0
234,7.8078,1503.034949035943,1442.0881536179747,461.0574372411686,560.8682118018294,155.53814902853873,10563.0
235,7.841166666666667,1499.803772989186,1432.2855316125977,457.5589789835276,571.6379569187015,153.79278010227023,10557.5
236,7.874533333333334,1497.1770423403348,1423.1586458679058,454.71496572145406,581.6652978818877,152.7394540204842,10545.5
237,7.9079,1494.7300728078505,1412.693779677113,452.0655833779242,593.1626239539517,151.6375464323121,10530.0
238,7.9412666666666665,1492.389150382732,1402.1867541482432,449.53102033643586,604.7062687890098,151.21982362165622,10516.5
239,7.974633333333333,1490.1799408622662,1393.0327960066131,447.13906546369253,614.763353101941,150.6296190290083,10484.0
240,8.008000000000001,1488.3653082847068,1383.0319591378463,445.17432685654717,625.7508688883252,148.1781623820799,10539.5
241,8.041366666666667,1486.8099879548622,1372.408805629517,443.4903507523413,637.4220988469378,148.1160196337582,10516.0
242,8.074733333333333,1484.831041507512,1362.6834097275273,441.34770626625414,648.1069987612311,146.04073213543188,10472.0
243,8.1081,1483.6729326290074,1352.7755675058297,440.09379886206966,658.9923450825863,145.3492012449083,10506.5
